product,series_id,speed_rpm,event_index,time_s,thump_level_est_dba,event_energy_est_dba,raw_peak_est_dba,raw_low_band_dbfs,local_background_est_dba,exhaust_ratio_db,wav
东德基准,DD_BASE_260707_700,700,10,16.7,79.22030999645517,74.98919488652191,79.30190394286257,-37.91228985985861,61.99990711899203,13.3104591841306,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_thump_loudness_quant\wav\东德竞品_700rpm_700.wav
东德基准,DD_BASE_260707_700,700,11,17.94,71.39369585160807,68.81510745155668,71.86636541005095,-45.34782839267023,61.99990711899203,18.70509450174335,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_thump_loudness_quant\wav\东德竞品_700rpm_700.wav
东德基准,DD_BASE_260707_700,700,12,18.8,70.77809467094724,66.5615769141401,71.3463360970965,-45.86785770562468,62.23279866580043,21.20706166580135,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_thump_loudness_quant\wav\东德竞品_700rpm_700.wav
东德基准,DD_BASE_260707_700,700,13,19.24,70.22065901983487,64.39933229321613,70.9270564396951,-46.28713736302607,62.691292037106045,21.21256909914551,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_thump_loudness_quant\wav\东德竞品_700rpm_700.wav
东德基准,DD_BASE_260707_700,700,14,19.64,73.01740332137462,66.98982724325575,73.40808884591516,-43.80610495680601,62.75464047265247,15.651292398219553,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_thump_loudness_quant\wav\东德竞品_700rpm_700.wav
东德基准,DD_BASE_260707_700,700,15,20.94,72.37765842038802,68.35424635878752,72.82724100946608,-44.38695279325509,62.75464047265247,18.571914930174575,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_thump_loudness_quant\wav\东德竞品_700rpm_700.wav
东德基准,DD_BASE_260707_700,700,16,21.86,67.95088358436797,53.44908070660682,69.81925180104724,-47.394942001673925,65.25528888282572,22.967041237741057,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_thump_loudness_quant\wav\东德竞品_700rpm_700.wav
东德基准,DD_BASE_260707_700,700,17,22.2,87.04685287142478,85.81696671596012,87.08067931316613,-30.13351448955504,65.97849711757718,4.3731881945756435,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_thump_loudness_quant\wav\东德竞品_700rpm_700.wav
东德基准,DD_BASE_260707_700,700,18,23.4,71.90609174237102,69.18508134436092,73.09785571250944,-44.11633809021173,66.8996511087315,21.30940255569595,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_thump_loudness_quant\wav\东德竞品_700rpm_700.wav
东德基准,DD_BASE_260707_700,700,19,24.92,82.45886914293098,79.03185743037683,82.54898154121992,-34.66521226150125,65.67400561864281,6.486999603383847,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_thump_loudness_quant\wav\东德竞品_700rpm_700.wav
东德基准,DD_BASE_260707_700,700,20,26.04,74.67476206314026,71.28576917857532,75.18964690751103,-42.024546895210136,65.67400561864281,15.69131312046638,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_thump_loudness_quant\wav\东德竞品_700rpm_700.wav
