series_id,date,condition,short_label,speed_rpm,run,event_index,time_s,thump_level_est_dba,event_energy_est_dba,raw_peak_est_dba,background_est_dba,exhaust_ratio_db,wav,normalized_thump_peak_db,normalized_event_energy_db
FR_0716_CYL_800,2026-07-16,换26号嵌套油缸 + 老控制器,0716嵌套油缸,800,800rpm,29,25.24,85.2701399964174,83.01425288697965,85.51981902882545,72.99155520217188,5.073512476805494,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_followup_v3\wav\FR_0716_CYL_800.wav,76.81382171719588,74.55793460775813
FR_0716_CYL_800,2026-07-16,换26号嵌套油缸 + 老控制器,0716嵌套油缸,800,800rpm,30,26.22,85.52245458597568,83.57498421729659,85.75841700245266,72.99155520217188,4.377312581121075,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_followup_v3\wav\FR_0716_CYL_800.wav,77.06613630675416,75.11866593807507
FR_0716_CYL_800,2026-07-16,换26号嵌套油缸 + 老控制器,0716嵌套油缸,800,800rpm,31,27.32,78.13382265963736,63.027789413784376,79.19411842328982,72.55117829055072,12.352127134750724,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_followup_v3\wav\FR_0716_CYL_800.wav,69.67750438041584,54.571471134562856
FR_0716_CYL_800,2026-07-16,换26号嵌套油缸 + 老控制器,0716嵌套油缸,800,800rpm,32,27.88,86.01034445830882,83.71697007081292,86.25603534559795,73.65981639947731,4.454704008070639,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_followup_v3\wav\FR_0716_CYL_800.wav,77.5540261790873,75.2606517915914
FR_0716_CYL_800,2026-07-16,换26号嵌套油缸 + 老控制器,0716嵌套油缸,800,800rpm,33,28.86,86.06771149785627,84.95092070811253,86.31026670234385,73.65981639947731,4.81480831139606,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_followup_v3\wav\FR_0716_CYL_800.wav,77.61139321863475,76.49460242889101
FR_0716_CYL_800,2026-07-16,换26号嵌套油缸 + 老控制器,0716嵌套油缸,800,800rpm,34,29.66,78.05483344746966,70.75799369140766,78.88163914291755,71.2709844017599,10.58036995629751,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_followup_v3\wav\FR_0716_CYL_800.wav,69.59851516824814,62.30167541218614
FR_0716_CYL_800,2026-07-16,换26号嵌套油缸 + 老控制器,0716嵌套油缸,800,800rpm,35,30.5,87.28437137518675,84.92539269153498,87.41659634009153,72.1859430855058,3.6734062845662407,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_followup_v3\wav\FR_0716_CYL_800.wav,78.82805309596523,76.46907441231346
FR_0716_CYL_800,2026-07-16,换26号嵌套油缸 + 老控制器,0716嵌套油缸,800,800rpm,36,31.6,77.62574492211189,75.21254226227512,78.71738487770114,72.1859430855058,11.071313719732707,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_followup_v3\wav\FR_0716_CYL_800.wav,69.16942664289037,66.7562239830536
FR_0716_CYL_800,2026-07-16,换26号嵌套油缸 + 老控制器,0716嵌套油缸,800,800rpm,37,32.42,79.11348497911217,75.3909089120839,79.79323214084937,71.40342158667063,10.45507923451348,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_followup_v3\wav\FR_0716_CYL_800.wav,70.65716669989065,66.93459063286238
FR_0716_CYL_800,2026-07-16,换26号嵌套油缸 + 老控制器,0716嵌套油缸,800,800rpm,38,33.24,88.60133207676722,86.24365143176334,88.75082988801238,74.04480063487648,2.106249076302845,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_followup_v3\wav\FR_0716_CYL_800.wav,80.1450137975457,77.78733315254182
