product,speed_rpm,video,time_s,event_rms_dbfs,bg_rms_dbfs,excess_dbfs,prominence_db,env_peak_db
东德竞品,700,C:\FRCloud\FRQ\04_Pump Development\06_HPDI低温泵_加密\03_Testing\02_LNG测试\260709\东德泵老程序测试_0707\700rpm\700.mp4,26.02700680272109,-34.5704334398363,-40.88668808302657,-35.72557889492013,6.316254643190272,-29.211228183679857
东德竞品,700,C:\FRCloud\FRQ\04_Pump Development\06_HPDI低温泵_加密\03_Testing\02_LNG测试\260709\东德泵老程序测试_0707\700rpm\700.mp4,26.252086167800453,-40.68898762027623,-39.296035694956345,-55.9177750730796,-1.3929519253198803,-37.01527736050999
东德竞品,700,C:\FRCloud\FRQ\04_Pump Development\06_HPDI低温泵_加密\03_Testing\02_LNG测试\260709\东德泵老程序测试_0707\700rpm\700.mp4,26.64015873015873,-37.75890384381841,-36.97672773156366,-52.98769129662179,-0.7821761122547487,-33.93489822336127
东德竞品,700,C:\FRCloud\FRQ\04_Pump Development\06_HPDI低温泵_加密\03_Testing\02_LNG测试\260709\东德泵老程序测试_0707\700rpm\700.mp4,26.88800453514739,-37.4877249135949,-38.308845429107905,-45.12559246159419,0.821120515513001,-32.99700145483663
东德竞品,700,C:\FRCloud\FRQ\04_Pump Development\06_HPDI低温泵_加密\03_Testing\02_LNG测试\260709\东德泵老程序测试_0707\700rpm\700.mp4,27.33546485260771,-37.00504626644518,-36.41163558217799,-52.23383371924855,-0.5934106842671825,-32.409392781889025
东德竞品,700,C:\FRCloud\FRQ\04_Pump Development\06_HPDI低温泵_加密\03_Testing\02_LNG测试\260709\东德泵老程序测试_0707\700rpm\700.mp4,27.623537414965988,-33.11009870205773,-39.189316123442744,-34.340121405931626,6.079217421385006,-25.073592934557936
东德竞品,700,C:\FRCloud\FRQ\04_Pump Development\06_HPDI低温泵_加密\03_Testing\02_LNG测试\260709\东德泵老程序测试_0707\700rpm\700.mp4,27.912426303854875,-42.79595250187732,-37.20420060960024,-58.024739954680705,-5.591751892277085,-37.20121359066712
东德竞品,700,C:\FRCloud\FRQ\04_Pump Development\06_HPDI低温泵_加密\03_Testing\02_LNG测试\260709\东德泵老程序测试_0707\700rpm\700.mp4,28.099160997732426,-41.95466055442681,-36.78873206892408,-57.18344800723018,-5.1659284855027305,-37.02879559435739
东德竞品,700,C:\FRCloud\FRQ\04_Pump Development\06_HPDI低温泵_加密\03_Testing\02_LNG测试\260709\东德泵老程序测试_0707\700rpm\700.mp4,28.847369614512473,-33.771584100334636,-40.06779042514989,-34.93285695449988,6.296206324815252,-28.26114929615801
东德竞品,700,C:\FRCloud\FRQ\04_Pump Development\06_HPDI低温泵_加密\03_Testing\02_LNG测试\260709\东德泵老程序测试_0707\700rpm\700.mp4,29.15151927437642,-40.23621946919961,-36.782609291219416,-55.465006922002985,-3.453610177980193,-36.97575095097061
东德竞品,700,C:\FRCloud\FRQ\04_Pump Development\06_HPDI低温泵_加密\03_Testing\02_LNG测试\260709\东德泵老程序测试_0707\700rpm\700.mp4,29.388503401360545,-37.356710760976654,-36.04240083016835,-52.58549821378003,-1.3143099308083,-33.69529096490105
东德竞品,700,C:\FRCloud\FRQ\04_Pump Development\06_HPDI低温泵_加密\03_Testing\02_LNG测试\260709\东德泵老程序测试_0707\700rpm\700.mp4,29.581065759637188,-36.379064239141705,-36.80002108130742,-46.72331005759014,0.42095684216571594,-32.82456331593091
东德竞品,700,C:\FRCloud\FRQ\04_Pump Development\06_HPDI低温泵_加密\03_Testing\02_LNG测试\260709\东德泵老程序测试_0707\700rpm\700.mp4,29.836054421768708,-36.09886824171447,-35.65384629861124,-51.327655694517844,-0.44502194310322607,-32.00323973667331
东德竞品,700,C:\FRCloud\FRQ\04_Pump Development\06_HPDI低温泵_加密\03_Testing\02_LNG测试\260709\东德泵老程序测试_0707\700rpm\700.mp4,30.464126984126985,-33.041840015023695,-38.227173298944614,-34.60961675843852,5.185333283920927,-24.44475308961094
东德竞品,700,C:\FRCloud\FRQ\04_Pump Development\06_HPDI低温泵_加密\03_Testing\02_LNG测试\260709\东德泵老程序测试_0707\700rpm\700.mp4,31.712108843537415,-34.39216514846634,-41.95605938998328,-35.22884108543497,7.563894241516948,-28.05813528174364
东德竞品,700,C:\FRCloud\FRQ\04_Pump Development\06_HPDI低温泵_加密\03_Testing\02_LNG测试\260709\东德泵老程序测试_0707\700rpm\700.mp4,32.34553287981859,-38.6168024772216,-37.061253840033544,-53.84558993002497,-1.5555486371880531,-34.75743012760483
东德竞品,700,C:\FRCloud\FRQ\04_Pump Development\06_HPDI低温泵_加密\03_Testing\02_LNG测试\260709\东德泵老程序测试_0707\700rpm\700.mp4,32.60297052154195,-37.712484717945145,-37.22289213442827,-52.941272170748526,-0.4895925835168727,-33.32717655335534
东德竞品,700,C:\FRCloud\FRQ\04_Pump Development\06_HPDI低温泵_加密\03_Testing\02_LNG测试\260709\东德泵老程序测试_0707\700rpm\700.mp4,32.86462585034013,-37.622063022930405,-36.91978811311153,-52.850850475733786,-0.7022749098188765,-33.17647960672508
东德竞品,700,C:\FRCloud\FRQ\04_Pump Development\06_HPDI低温泵_加密\03_Testing\02_LNG测试\260709\东德泵老程序测试_0707\700rpm\700.mp4,33.29571428571428,-33.56823707896795,-40.02183163847985,-34.68238239397062,6.453594559511908,-24.878521011731564
东德竞品,700,C:\FRCloud\FRQ\04_Pump Development\06_HPDI低温泵_加密\03_Testing\02_LNG测试\260709\东德泵老程序测试_0707\700rpm\700.mp4,34.539206349206346,-34.39366328923788,-42.444287280581875,-35.133598173574676,8.05062399134399,-28.18231496243291
东德竞品,700,C:\FRCloud\FRQ\04_Pump Development\06_HPDI低温泵_加密\03_Testing\02_LNG测试\260709\东德泵老程序测试_0707\700rpm\700.mp4,35.461519274376414,-37.65502260424026,-39.67259939397651,-41.95436946321134,2.0175767897362546,-33.478466804389136
东德竞品,700,C:\FRCloud\FRQ\04_Pump Development\06_HPDI低温泵_加密\03_Testing\02_LNG测试\260709\东德泵老程序测试_0707\700rpm\700.mp4,35.72353741496599,-37.81807280508045,-38.97431343147877,-44.13073526405904,1.1562406263983207,-33.55907973386255
东德竞品,700,C:\FRCloud\FRQ\04_Pump Development\06_HPDI低温泵_加密\03_Testing\02_LNG测试\260709\东德泵老程序测试_0707\700rpm\700.mp4,36.24383219954648,-38.38837126902114,-40.30193355528448,-42.869495226001575,1.9135622862633386,-31.40064276736591
东德竞品,700,C:\FRCloud\FRQ\04_Pump Development\06_HPDI低温泵_加密\03_Testing\02_LNG测试\260709\东德泵老程序测试_0707\700rpm\700.mp4,37.525895691609975,-34.681026571203255,-41.899865203073745,-35.594682450006964,7.2188386318704865,-28.849610360622616
东德竞品,700,C:\FRCloud\FRQ\04_Pump Development\06_HPDI低温泵_加密\03_Testing\02_LNG测试\260709\东德泵老程序测试_0707\700rpm\700.mp4,37.974172335600905,-39.63276689959812,-37.46247617261349,-54.8615543524015,-2.1702907269846303,-37.14795476796706
东德竞品,700,C:\FRCloud\FRQ\04_Pump Development\06_HPDI低温泵_加密\03_Testing\02_LNG测试\260709\东德泵老程序测试_0707\700rpm\700.mp4,38.230544217687076,-38.133748116511555,-28.417358854102375,-53.36253556931492,-9.716389262409175,-33.62200629931752
东德竞品,700,C:\FRCloud\FRQ\04_Pump Development\06_HPDI低温泵_加密\03_Testing\02_LNG测试\260709\东德泵老程序测试_0707\700rpm\700.mp4,38.57732426303855,-30.54122956194144,-33.95333329999535,-33.18377238310378,3.4121037380539097,-33.579373201878894
东德竞品,700,C:\FRCloud\FRQ\04_Pump Development\06_HPDI低温泵_加密\03_Testing\02_LNG测试\260709\东德泵老程序测试_0707\700rpm\700.mp4,38.768526077097505,-22.885910915863068,-37.73008892626354,-23.030649168148752,14.844178010400473,-14.084953129656286
东德竞品,700,C:\FRCloud\FRQ\04_Pump Development\06_HPDI低温泵_加密\03_Testing\02_LNG测试\260709\东德泵老程序测试_0707\700rpm\700.mp4,39.122902494331065,-36.32719742993635,-28.783036600803463,-51.55598488273973,-7.544160829132886,-29.94899437593689
东德竞品,700,C:\FRCloud\FRQ\04_Pump Development\06_HPDI低温泵_加密\03_Testing\02_LNG测试\260709\东德泵老程序测试_0707\700rpm\700.mp4,39.36224489795919,-41.041492316142254,-28.310903905421764,-56.27027976894563,-12.73058841072049,-36.59963082248296
东德竞品,700,C:\FRCloud\FRQ\04_Pump Development\06_HPDI低温泵_加密\03_Testing\02_LNG测试\260709\东德泵老程序测试_0707\700rpm\700.mp4,39.96208616780045,-35.612216087164676,-40.87052261506771,-37.1486458184232,5.258306527903047,-30.77645914805362
东德竞品,700,C:\FRCloud\FRQ\04_Pump Development\06_HPDI低温泵_加密\03_Testing\02_LNG测试\260709\东德泵老程序测试_0707\700rpm\700.mp4,40.647732426303854,-38.37979858591784,-37.69201358027865,-53.608586038721214,-0.6877850056391909,-34.02238071701031
东德竞品,700,C:\FRCloud\FRQ\04_Pump Development\06_HPDI低温泵_加密\03_Testing\02_LNG测试\260709\东德泵老程序测试_0707\700rpm\700.mp4,40.998390022675736,-37.74053980447001,-33.84488156600705,-52.969327257273385,-3.895658238462962,-33.452508352354286
东德竞品,700,C:\FRCloud\FRQ\04_Pump Development\06_HPDI低温泵_加密\03_Testing\02_LNG测试\260709\东德泵老程序测试_0707\700rpm\700.mp4,41.26079365079365,-38.162175344187006,-35.41051293531759,-53.39096279699039,-2.7516624088694135,-33.68796381582429
东德竞品,700,C:\FRCloud\FRQ\04_Pump Development\06_HPDI低温泵_加密\03_Testing\02_LNG测试\260709\东德泵老程序测试_0707\700rpm\700.mp4,41.504716553287984,-29.057030474556843,-39.68821808406916,-29.44981727146139,10.631187609512324,-21.172413890403604
东德竞品,700,C:\FRCloud\FRQ\04_Pump Development\06_HPDI低温泵_加密\03_Testing\02_LNG测试\260709\东德泵老程序测试_0707\700rpm\700.mp4,42.651541950113376,-35.24580139488035,-42.234918871605686,-36.215047178830766,6.989117476725334,-29.24812171089744
东德竞品,700,C:\FRCloud\FRQ\04_Pump Development\06_HPDI低温泵_加密\03_Testing\02_LNG测试\260709\东德泵老程序测试_0707\700rpm\700.mp4,43.32884353741497,-38.638101311769894,-38.416391669670176,-53.86688876457327,-0.22170964209972094,-34.26032769219471
东德竞品,700,C:\FRCloud\FRQ\04_Pump Development\06_HPDI低温泵_加密\03_Testing\02_LNG测试\260709\东德泵老程序测试_0707\700rpm\700.mp4,43.59367346938775,-38.44636060349485,-37.79249622491707,-53.67514805629823,-0.6538643785777799,-34.41194104324378
东德竞品,700,C:\FRCloud\FRQ\04_Pump Development\06_HPDI低温泵_加密\03_Testing\02_LNG测试\260709\东德泵老程序测试_0707\700rpm\700.mp4,44.24172335600907,-34.38314460575175,-41.11829214308118,-35.41828441823006,6.735147537329436,-25.122874569029396
东德竞品,700,C:\FRCloud\FRQ\04_Pump Development\06_HPDI低温泵_加密\03_Testing\02_LNG测试\260709\东德泵老程序测试_0707\700rpm\700.mp4,45.485850340136054,-35.85756775435413,-43.36219287436276,-36.70694089808301,7.50462512000863,-29.736449601419224
东德竞品,700,C:\FRCloud\FRQ\04_Pump Development\06_HPDI低温泵_加密\03_Testing\02_LNG测试\260709\东德泵老程序测试_0707\700rpm\700.mp4,46.103968253968254,-40.11426123599999,-38.64827637597497,-55.34304868880337,-1.465984860025023,-35.691216215165525
